Price,Name,Symbol
"23,883.96",Bitcoin USD,BTC-USD
"1,785.06",Ethereum USD,ETH-USD
1.0002,Tether USD,USDT-USD
0.999863,USD Coin USD,USDC-USD
325.91,Binance Coin USD,BNB-USD
0.377635,XRP USD,XRP-USD
0.535270,Cardano USD,ADA-USD
1.0002,Binance USD USD,BUSD-USD
42.62,Solana USD,SOL-USD
9.1763,Polkadot USD,DOT-USD
0.073306,Dogecoin USD,DOGE-USD
0.054640,HEX USD,HEX-USD
28.51,Avalanche USD,AVAX-USD
1.0001,Dai USD,DAI-USD
0.927001,Polygon USD,MATIC-USD
0.070348,Wrapped TRON USD,WTRX-USD
0.000013,SHIBA INU USD,SHIB-USD
86.55,STATERA USD,STA-USD
8.8101,Uniswap USD,UNI1-USD
0.070513,TRON USD,TRX-USD
"1,724.60",Lido stETH USD,STETH-USD
"23,871.21",Wrapped Bitcoin USD,WBTC-USD
38.10,Ethereum Classic USD,ETC-USD
4.7950,UNUS SED LEO USD,LEO-USD
62.68,Litecoin USD,LTC-USD
