Symbol,Name,Price
BTC-USD,Bitcoin USD,"23,974.34"
ETH-USD,Ethereum USD,"1,860.84"
USDT-USD,Tether USD,1.0002
USDC-USD,USD Coin USD,1.0002
BNB-USD,Binance Coin USD,329.13
XRP-USD,XRP USD,0.380354
ADA-USD,Cardano USD,0.536519
BUSD-USD,Binance USD USD,1.0001
SOL-USD,Solana USD,42.38
DOT-USD,Polkadot USD,9.5749
HEX-USD,HEX USD,0.059040
DOGE-USD,Dogecoin USD,0.071187
AVAX-USD,Avalanche USD,29.12
DAI-USD,Dai USD,1.0001
MATIC-USD,Polygon USD,0.933269
WTRX-USD,Wrapped TRON USD,0.070085
UNI1-USD,Uniswap USD,9.1498
SHIB-USD,SHIBA INU USD,0.000012
TRX-USD,TRON USD,0.070192
STETH-USD,Lido stETH USD,"1,792.08"
WBTC-USD,Wrapped Bitcoin USD,"23,981.70"
ETC-USD,Ethereum Classic USD,38.76
NEAR-USD,NEAR Protocol USD,5.9885
LEO-USD,UNUS SED LEO USD,4.7127
YOUC-USD,yOUcash USD,0.511399
